gender,math,science,result
male,63,97,pass
female,77,61,fail
male,72,77,pass
male,54,44,fail
male,60,83,pass
male,96,80,pass
female,86,83,pass
male,99,88,pass
female,60,54,fail
female,52,75,fail
male,77,97,pass
male,78,73,pass
male,74,89,pass
female,76,64,pass
male,66,94,pass
male,73,74,pass
female,76,90,pass
female,72,86,pass
male,81,71,pass
male,86,79,pass
male,96,56,pass
male,40,83,fail
female,76,88,pass
male,72,48,fail
female,55,97,pass
female,40,45,fail
male,77,66,pass
male,85,86,pass
male,62,73,fail
female,64,52,fail
female,85,90,pass
female,100,100,pass
female,88,48,fail
male,99,89,pass
female,87,51,fail
female,58,91,pass
male,43,40,fail
female,71,66,fail
male,93,54,pass
male,57,40,fail
female,85,69,pass
female,98,74,pass
male,83,83,pass
female,68,70,fail
male,54,63,fail
male,88,82,pass
male,64,40,fail
male,46,48,fail
male,43,62,fail
male,98,89,pass
female,96,77,pass
male,66,67,fail
male,67,44,fail
male,63,75,fail
male,79,80,pass
female,55,48,fail
female,40,70,fail
female,96,86,pass
female,84,87,pass
female,40,97,fail
male,46,64,fail
female,46,55,fail
female,79,54,fail
female,57,45,fail
female,77,91,pass
female,42,49,fail
female,42,92,fail
male,73,40,fail
male,71,61,fail
female,49,92,pass
female,41,72,fail
male,94,74,pass
female,63,50,fail
male,92,79,pass
female,50,67,fail
female,57,57,fail
female,47,63,fail
female,52,48,fail
female,43,52,fail
male,48,47,fail
female,89,64,pass
female,88,63,pass
male,48,41,fail
female,56,60,fail
female,77,69,pass
male,40,74,fail
male,54,48,fail
female,81,42,fail
female,58,85,pass
male,56,53,fail
female,81,68,pass
male,53,51,fail
female,65,72,fail
female,67,56,fail
female,55,49,fail
female,83,90,pass
female,42,59,fail
male,84,74,pass
female,61,87,pass
female,71,82,pass
male,67,71,fail
female,77,78,pass
female,75,55,fail
male,79,50,fail
female,74,41,fail
male,41,41,fail
male,61,79,pass
female,61,74,fail
female,82,74,pass
female,49,91,pass
male,76,42,fail
male,94,48,pass
female,97,86,pass
male,65,64,fail
female,97,80,pass
female,100,97,pass
male,74,91,pass
male,79,49,fail
female,53,72,fail
female,63,63,fail
male,76,75,pass
male,87,60,pass
female,47,53,fail
male,90,99,pass
male,99,100,pass
female,77,71,pass
female,62,94,pass
male,60,45,fail
male,83,62,pass
male,73,55,fail
male,44,99,pass
male,44,91,fail
male,83,69,pass
female,43,96,fail
female,98,63,pass
male,45,67,fail
male,85,43,fail
female,73,56,fail
female,57,84,pass
male,78,45,fail
female,61,49,fail
male,98,65,pass
female,82,59,pass
female,87,43,fail
male,80,62,pass
female,62,43,fail
male,93,85,pass
female,97,93,pass
male,93,89,pass
female,97,52,pass
female,83,72,pass
male,74,60,fail
male,61,78,fail
female,83,73,pass
female,48,63,fail
male,82,80,pass
male,54,78,fail
female,83,96,pass
male,81,84,pass
male,99,50,pass
female,57,65,fail
male,64,49,fail
male,97,83,pass
male,51,90,pass
male,67,67,fail
male,73,45,fail
